TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
1.10.20.10	-	0.333225788311903	-1.09893497579029	68	6	0.0100840336134454	595	8569	54108,6655,8338,94239,1810,10589	CHRAC1,SOS2,HIST2H2AC,H2AFV,DR1,DRAP1
1.10.840.10	-	0.34651802188201	-1.05982045050122	30	3	0.00504201680672269	595	8569	6655,10411,9693	SOS2,RAPGEF3,RAPGEF2
2.170.130.20	-	0.350738307923092	-1.04771489505812	6	1	0.00168067226890756	595	8569	285761	DCBLD1
3.30.70.240	-	0.350738307923092	-1.04771489505812	6	1	0.00168067226890756	595	8569	1938	EEF2
4.10.40.20	-	0.350738307923092	-1.04771489505812	6	1	0.00168067226890756	595	8569	3488	IGFBP5
3.30.465.10	-	0.350738307923092	-1.04771489505812	6	1	0.00168067226890756	595	8569	8540	AGPS
3.40.50.1110	-	0.350738307923092	-1.04771489505812	6	1	0.00168067226890756	595	8569	5049	PAFAH1B2
2.60.40.1230	-	0.350738307923092	-1.04771489505812	6	1	0.00168067226890756	595	8569	164	AP1G1
3.90.180.10	-	0.358531502079551	-1.02573875089349	18	2	0.00336134453781513	595	8569	6652,145482	SORD,PTGR2
3.40.720.10	-	0.365968556550706	-1.00520786033498	31	3	0.00504201680672269	595	8569	3423,22875,153642	IDS,ENPP4,ARSK
2.10.110.10	-	0.371121876795198	-0.991224761439996	71	6	0.0100840336134454	595	8569	3983,55885,1465,10611,51474,4026	ABLIM1,LMO3,CSRP1,PDLIM5,LIMA1,LPP
3.40.309.10	-	0.384097327267031	-0.956859302084503	19	2	0.00336134453781513	595	8569	7915,224	ALDH5A1,ALDH3A2
3.40.605.10	-	0.384097327267031	-0.956859302084503	19	2	0.00336134453781513	595	8569	7915,224	ALDH5A1,ALDH3A2
1.20.1050.20	-	0.395852252436249	-0.926714237255206	7	1	0.00168067226890756	595	8569	6772	STAT1
2.60.40.630	-	0.395852252436249	-0.926714237255206	7	1	0.00168067226890756	595	8569	6772	STAT1
2.60.40.360	-	0.395852252436249	-0.926714237255206	7	1	0.00168067226890756	595	8569	9217	VAPB
3.30.428.10	-	0.395852252436249	-0.926714237255206	7	1	0.00168067226890756	595	8569	135114	HINT3
1.10.225.10	-	0.395852252436249	-0.926714237255206	7	1	0.00168067226890756	595	8569	5660	PSAP
1.10.532.10	-	0.395852252436249	-0.926714237255206	7	1	0.00168067226890756	595	8569	6772	STAT1
2.60.120.10	-	0.39772996502969	-0.921981983794198	46	4	0.00672268907563025	595	8569	10411,5576,9693,84890	RAPGEF3,PRKAR2A,RAPGEF2,ADO
3.60.40.10	-	0.40921180519384	-0.893522395873492	20	2	0.00336134453781513	595	8569	5494,8493	PPM1A,PPM1D
1.10.533.10	-	0.423640146131549	-0.858870896063972	89	7	0.0117647058823529	595	8569	23586,8682,8738,287,51135,11213,8837	DDX58,PEA15,CRADD,ANK2,IRAK4,IRAK3,CFLAR
1.10.2000.10	-	0.433814348592254	-0.835138604621271	21	2	0.00336134453781513	595	8569	6422,8322	SFRP1,FZD4
3.40.50.1910	-	0.437836357764461	-0.825910050826102	8	1	0.00168067226890756	595	8569	6812	STXBP1
1.10.472.30	-	0.437836357764461	-0.825910050826102	8	1	0.00168067226890756	595	8569	23469	PHF3
2.60.120.590	-	0.437836357764461	-0.825910050826102	8	1	0.00168067226890756	595	8569	91801	ALKBH8
1.10.950.10	-	0.437836357764461	-0.825910050826102	8	1	0.00168067226890756	595	8569	3983	ABLIM1
3.30.810.10	-	0.437836357764461	-0.825910050826102	8	1	0.00168067226890756	595	8569	200576	PIKFYVE
3.90.290.10	-	0.437836357764461	-0.825910050826102	8	1	0.00168067226890756	595	8569	4054	LTBP3
1.20.140.30	-	0.437836357764461	-0.825910050826102	8	1	0.00168067226890756	595	8569	55233	MOB1A
3.30.800.10	-	0.437836357764461	-0.825910050826102	8	1	0.00168067226890756	595	8569	200576	PIKFYVE
3.30.890.10	-	0.437836357764461	-0.825910050826102	8	1	0.00168067226890756	595	8569	29994	BAZ2B
3.30.230.10	-	0.457854930520014	-0.78120289063192	22	2	0.00336134453781513	595	8569	5378,1938	PMS1,EEF2
3.30.1520.10	-	0.461195703710706	-0.773932806088761	50	4	0.00672268907563025	595	8569	81609,9743,8723,54877	SNX27,ARHGAP32,SNX4,ZCCHC2
2.60.120.290	-	0.476720940606849	-0.740823989465042	51	4	0.00672268907563025	595	8569	80310,8829,285761,51279	PDGFD,NRP1,DCBLD1,C1RL
1.10.3080.10	-	0.476907420383509	-0.740432894177475	9	1	0.00168067226890756	595	8569	1182	CLCN3
2.110.10.10	-	0.481292914064176	-0.731279225274333	23	2	0.00336134453781513	595	8569	10893,10216	MMP24,PRG4
1.10.1040.10	-	0.513267243381318	-0.666958627190905	10	1	0.00168067226890756	595	8569	84656	GLYR1
1.10.220.60	-	0.513267243381318	-0.666958627190905	10	1	0.00168067226890756	595	8569	9648	GCC2
3.20.20.190	-	0.526239235063562	-0.641999350130997	25	2	0.00336134453781513	595	8569	5332,23236	PLCB4,PLCB1
3.40.630.30	-	0.532288280011493	-0.630570056683441	40	3	0.00504201680672269	595	8569	64841,7994,10724	GNPNAT1,KAT6A,MGEA5
