Probe Set ID	UniGene ID.1
40347_at	Hs.705519.1
40348_s_at	Hs.705519.1
38505_at	Hs.705508.1
37534_at	Hs.705503.1
35397_at	Hs.705500.1
39828_at	Hs.705494.1
39829_at	Hs.705494.1
33726_at	Hs.705491.1
37798_at	Hs.705490.1
38380_at	Hs.705483.1
35342_at	Hs.705480.1
1321_s_at	Hs.705477.1
37762_at	Hs.705477.1
32341_f_at	Hs.705476.1
38689_at	Hs.705468.1
38437_at	Hs.705465.1
38464_at	Hs.705463.1
33134_at	Hs.705457.1
40560_at	Hs.705451.1
39917_at	Hs.705449.1
39918_at	Hs.705449.1
39425_at	Hs.705447.1
35786_at	Hs.705446.1
33354_at	Hs.705442.1
39063_at	Hs.705440.1
38600_r_at	Hs.705439.1
1512_at	Hs.705437.1
36946_at	Hs.705437.1
36947_s_at	Hs.705437.1
827_s_at	Hs.705437.1
34253_at	Hs.705436.1
34799_at	Hs.705431.1
41561_s_at	Hs.705431.1
35750_at	Hs.705426.1
32084_at	Hs.705425.1
40490_at	Hs.705423.1
34831_at	Hs.705421.1
34832_s_at	Hs.705421.1
34727_at	Hs.705418.1
34728_g_at	Hs.705418.1
34792_at	Hs.705418.1
41302_at	Hs.705418.1
34266_at	Hs.705413.1
34267_r_at	Hs.705413.1
32722_at	Hs.705408.1
41801_at	Hs.705407.1
33854_at	Hs.705406.1
40894_at	Hs.705404.1
40895_g_at	Hs.705404.1
39475_at	Hs.705401.1
39847_at	Hs.705401.1
38939_r_at	Hs.705400.1
38896_at	Hs.705399.1
32604_s_at	Hs.705398.1
40190_at	Hs.705398.1
40191_s_at	Hs.705398.1
35277_at	Hs.705394.1
32586_at	Hs.705392.1
39023_at	Hs.705391.1
37336_at	Hs.705390.1
37954_at	Hs.705389.1
130_s_at	Hs.705388.1
33754_at	Hs.705388.1
32754_at	Hs.705387.1
35405_at	Hs.705386.1
795_s_at	Hs.705385.1
796_i_at	Hs.705385.1
1918_at	Hs.705384.1
41499_at	Hs.705384.1
41244_f_at	Hs.705383.1
32947_at	Hs.705382.1
1109_s_at	Hs.705381.1
35703_at	Hs.705381.1
32005_at	Hs.705380.1
868_at	Hs.705378.1
41313_at	Hs.705377.1
40543_at	Hs.705375.1
40544_g_at	Hs.705375.1
32845_at	Hs.705374.1
32272_at	Hs.705373.1
32035_at	Hs.705372.1
38585_at	Hs.705371.1
1994_at	Hs.705370.1
37575_at	Hs.705370.1
38902_r_at	Hs.705370.1
346_s_at	Hs.705369.1
32628_at	Hs.705368.1
350_at	Hs.705368.1
1896_s_at	Hs.705367.1
34016_s_at	Hs.705367.1
34017_s_at	Hs.705367.1
34384_at	Hs.705367.1
32400_at	Hs.705366.1
1563_s_at	Hs.705365.1
40904_at	Hs.704168.1
33232_at	Hs.70327.1
41287_s_at	Hs.703240.1
35608_at	Hs.703147.1
41760_at	Hs.70312.1
31419_r_at	Hs.703064.1
31459_i_at	Hs.703063.1
36387_at	Hs.702762.1
31552_at	Hs.702603.1
39558_s_at	Hs.702545.1
41848_f_at	Hs.702439.1
41849_r_at	Hs.702439.1
37870_at	Hs.702424.1
1935_at	Hs.702385.1
35160_at	Hs.702266.1
40244_s_at	Hs.702265.1
35190_at	Hs.702257.1
35636_at	Hs.702255.1
39922_at	Hs.702255.1
32326_at	Hs.702237.1
40126_at	Hs.702224.1
36438_at	Hs.702214.1
35624_at	Hs.702213.1
39105_at	Hs.702197.1
32732_at	Hs.702192.1
38040_at	Hs.702187.1
1433_g_at	Hs.702172.1
1454_at	Hs.702172.1
1950_s_at	Hs.702172.1
38944_at	Hs.702172.1
32701_at	Hs.702157.1
1014_at	Hs.702153.1
41236_at	Hs.702137.1
35476_at	Hs.702124.1
34337_s_at	Hs.702116.1
36772_at	Hs.702084.1
37201_at	Hs.702071.1
41514_s_at	Hs.702069.1
1243_at	Hs.702063.1
37345_at	Hs.702061.1
34258_at	Hs.702060.1
38097_at	Hs.702058.1
37755_at	Hs.702048.1
39773_at	Hs.702044.1
40547_at	Hs.702035.1
41145_at	Hs.702033.1
32777_at	Hs.702031.1
33820_g_at	Hs.702021.1
39464_at	Hs.702021.1
40637_at	Hs.702021.1
163_at	Hs.702016.1
37241_at	Hs.702013.1
38762_at	Hs.702010.1
32064_at	Hs.702009.1
36437_s_at	Hs.702006.1
39547_at	Hs.702006.1
39290_f_at	Hs.702005.1
40440_at	Hs.702005.1
40441_g_at	Hs.702005.1
37921_at	Hs.702002.1
966_at	Hs.701999.1
967_g_at	Hs.701999.1
1640_at	Hs.701994.1
31701_r_at	Hs.701992.1
35616_at	Hs.701991.1
41511_at	Hs.701991.1
520_at	Hs.701990.1
31488_s_at	Hs.701989.1
37677_at	Hs.701989.1
1568_s_at	Hs.701988.1
1588_at	Hs.701988.1
1589_s_at	Hs.701988.1
36882_at	Hs.701987.1
