ProbeID	PrimaryAccession
A_24_P197284	NM_173821
A_23_P6223	NM_020706
A_24_P269129	NM_153746
A_32_P118512	THC2588312
A_24_P41180	NM_001009
A_32_P112452	BI026064
A_23_P201687	ENST00000377836
A_24_P41189	ENST00000342224
A_23_P15073	NM_001005920
A_24_P214184	AF172850
A_23_P349127	NM_138477
A_23_P34375	NM_003196
A_23_P34376	NM_003196
A_24_P92640	AK094860
A_23_P120809	NM_080839
A_24_P926979	NM_182925
A_24_P943997	NM_178815
A_32_P93996	ENST00000375587
A_24_P361643	NM_001039887
A_23_P151870	NM_015554
A_24_P589427	AA478981
A_32_P81623	AA514833
A_24_P33953	BC008618
A_23_P425880	NM_007118
A_23_P408787	NM_145278
A_23_P34366	NM_000864
A_32_P230465	AL133570
A_24_P273360	AF234262
A_24_P269140	ENST00000283507
A_24_P244800	NM_201535
A_23_P6201	NM_198996
A_32_P223256	THC2550202
A_24_P65658	ENST00000221315
A_23_P76159	NM_003566
A_32_P524614	NM_175734
A_23_P135995	NM_022786
A_23_P76151	NM_005967
A_32_P142635	AI133411
A_23_P15055	NM_001003938
A_23_P120822	NM_016327
A_23_P253081	NM_002183
A_24_P925913	A_24_P925913
A_23_P46690	NM_203376
A_23_P23983	NM_024948
A_23_P23980	AK126354
A_23_P151851	NM_014080
A_23_P151856	NM_016396
A_23_P76145	AF256215
A_23_P15004	NM_139054
A_23_P201672	NM_015935
A_23_P202837	NM_053056
A_23_P34345	NM_001078
A_23_P83976	NM_145036
A_24_P925901	A_24_P925901
A_24_P693768	A18658
A_23_P3413	NM_130901
A_24_P225448	NM_004078
A_32_P104097	BU631174
A_23_P381203	NM_015202
A_24_P33965	BC012528
A_32_P891680	AB033052
A_24_P273378	NM_172215
A_23_P201647	NM_173156
A_32_P80678	NM_001005845
A_23_P413131	NM_007347
A_24_P92680	AK093340
A_23_P46673	XM_001134097
A_24_P504050	BX648484
A_32_P112401	A_32_P112401
A_23_P34325	NM_033300
A_23_P202810	NM_004561
A_32_P40596	BC043564
A_23_P201655	NM_012333
A_24_P925966	A_24_P925966
A_32_P175539	NM_002902
A_23_P46660	BC004969
A_24_P269184	NM_080870
A_23_P382688	NM_145284
A_23_P100326	NM_001039476
A_23_P435183	ENST00000308482
A_23_P15018	ENST00000355629
A_24_P926666	AK000925
A_23_P201628	NM_002293
A_23_P52017	NM_018136
A_24_P255483	NM_014238
A_32_P216970	THC2644855
A_32_P104075	NM_002577
A_23_P214281	NM_133367
A_23_P55688	NM_017879
A_24_P235988	NM_197947
A_23_P253046	NM_006759
A_24_P305597	NM_007002
A_23_P100315	NM_020664
A_32_P75264	NM_178505
A_32_P142602	XM_934188
A_24_P389415	NM_007257
A_23_P34307	NM_005482
A_23_P201636	NM_005562
A_32_P35759	BX118285
A_32_P33937	NM_152734
A_24_P384839	NM_002340
A_32_P104088	BC048283
A_24_P349428	A_24_P349428
A_23_P253074	NM_018068
A_24_P925940	AY358102
A_24_P106591	NM_201280
A_23_P100344	NM_014321
A_24_P903628	A_24_P903628
A_23_P155106	NM_024821
A_23_P100341	NM_014321
A_23_P151820	NM_024832
A_32_P172608	THC2589620
A_32_P142652	AK091931
A_24_P926648	BC029446
A_23_P202860	NM_024514
A_23_P201605	NM_144977
A_23_P253029	NM_032515
A_23_P46639	NM_000562
A_23_P60977	NM_014387
A_24_P926670	AK055316
A_23_P123234	A_23_P123234
A_32_P6015	NM_005515
A_23_P201619	ENST00000367385
A_24_P225477	NM_018281
A_32_P75243	THC2710655
A_32_P104063	AF275804
A_23_P253052	NM_031462
A_24_P230734	AK091468
A_24_P129834	NM_173353
A_23_P123228	NM_000111
A_32_P61298	AK054921
A_23_P60943	AF152351
A_23_P46627	NM_015999
A_24_P926624	AF143324
A_23_P151805	NM_006329
A_23_P205894	NM_005159
A_23_P3302	NM_018365
A_23_P202844	NM_012175
A_24_P194081	NM_144779
A_24_P453793	THC2562932
A_32_P85835	ENST00000380344
A_32_P16662	THC2567500
A_23_P33093	NM_030965
A_23_P46618	NM_025179
A_24_P106542	NM_032784
A_23_P100355	NM_002720
A_24_P776036	A_24_P776036
A_24_P25285	AK096239
A_23_P123256	NM_014891
A_24_P305556	NM_182802
A_24_P41170	BC000969
A_23_P26799	NM_004870
A_24_P58673	NM_032044
A_32_P6032	AI873070
A_23_P92222	NM_152673
A_23_P92225	NM_152673
A_24_P932418	NM_012305
A_32_P37247	AK096908
A_23_P352619	NM_052864
A_23_P46606	NM_014873
A_24_P129813	NM_139067
A_23_P46604	NM_020448
A_24_P41149	ENST00000308118
A_24_P926606	A_24_P926606
A_24_P107918	NM_022845
A_23_P3368	NM_002569
A_23_P123242	NM_021163
A_24_P180849	NM_017688
A_23_P92275	NM_153002
A_32_P129912	BC065734
A_24_P230721	NM_032856
A_24_P605233	THC2620595
A_32_P389118	NM_019024
A_24_P14584	NM_012105
A_24_P734297	NM_032378
A_24_P586390	AK123446
A_23_P352648	BC008091
A_23_P123276	NM_003506
A_24_P106522	NM_033481
A_24_P926631	ENST00000327475
A_24_P305533	BC014951
A_23_P168532	NM_003088
A_23_P3312	NM_005545
A_24_P75718	XR_015556
A_23_P92202	NM_021971
A_24_P911171	A_24_P911171
A_24_P932435	NM_001147
A_32_P104023	THC2681410
A_23_P202894	NM_001612
A_23_P253012	NM_017577
A_24_P14595	NM_015227
A_24_P734268	BC044620
A_23_P213468	A_23_P213468
A_24_P903680	ENST00000382591
A_32_P145968	AA291137
A_24_P930415	NM_001012508
A_23_P123265	NM_015411
A_23_P26783	NM_002809
A_24_P930418	AK057533
A_23_P33027	NM_014938
A_24_P33989	NM_022351
A_24_P75708	XR_018526
A_24_P41160	XM_941195
A_23_P84448	NM_006000
A_24_P230708	NM_177966
A_24_P33982	ENST00000332935
A_23_P202881	NM_005103
A_24_P624182	CB528527
A_24_P4387	NM_004096
A_32_P163937	BQ064481
A_24_P106502	NM_013397
A_23_P162486	NM_002831
A_32_P80697	A_32_P80697
A_23_P3379	NM_002891
A_24_P930469	A_24_P930469
A_23_P114585	AK021445
A_23_P151895	NM_003613
A_23_P168551	NM_153247
A_23_P3371	NM_002891
A_24_P932451	BX641037
A_23_P92261	NM_032331
A_24_P898583	NM_003449
A_24_P911112	AK124344
A_32_P104000	NM_173475
A_24_P848345	AL049260
A_24_P700941	A_24_P700941
A_24_P255415	ENST00000316772
A_24_P69379	NM_022900
A_24_P175059	NM_004849
A_24_P164854	ENST00000379563
A_24_P872359	A_24_P872359
A_24_P560536	AK025182
A_32_P153244	THC2648227
A_23_P337550	NM_017602
A_24_P911161	A_24_P911161
A_24_P400473	NM_014655
A_32_P129950	NM_001012754
A_32_P40547	NR_002766
A_24_P230767	AK096974
A_23_P168587	NM_138771
A_24_P567952	AK056160
A_24_P82240	NM_002762
A_23_P367013	NM_177437
A_32_P319814	THC2646374
A_24_P107941	NM_024598
A_23_P346798	NM_000054
A_23_P168576	NM_152992
A_23_P3355	NM_002693
A_24_P349489	A_24_P349489
A_24_P96897	NM_205848
A_23_P8013	NM_003519
A_24_P932479	THC2548381
A_24_P255471	NM_175733
A_24_P255473	XR_019171
A_24_P400760	XR_016772
A_32_P84237	NM_001002912
A_24_P74070	NM_032510
A_23_P143734	NM_000106
A_24_P67096	NM_018672
A_32_P49054	THC2669500
A_24_P164838	NM_006038
A_24_P619891	BX119232
A_24_P932488	A_24_P932488
A_23_P210395	NM_000744
A_24_P75748	A_24_P75748
A_24_P770721	AI655321
A_23_P156156	NM_032280
A_23_P403521	NM_020192
A_23_P92292	NM_022457
A_24_P312845	NM_016564
A_23_P8004	ENST00000356177
A_23_P53588	NM_030775
A_24_P15906	XR_018758
A_24_P76844	NM_005883
A_23_P33015	NM_021128
A_24_P218509	ENST00000371142
A_23_P60990	NM_024861
A_23_P168598	NM_000446
A_23_P26713	NM_000978
A_23_P156168	AF118062
A_23_P324807	NM_020442
A_24_P75778	XR_018051
A_32_P470868	AK057244
A_32_P145989	BC067102
A_24_P453740	NM_194283
A_23_P420417	NM_138463
A_24_P164815	A_24_P164815
A_23_P105197	NM_004055
A_23_P143713	NM_021822
A_23_P98580	NM_004265
A_32_P122089	A_32_P122089
A_32_P91902	ENST00000265450
A_24_P112110	NM_001518
A_24_P926684	THC2515527
A_24_P25234	NM_001039656
A_24_P400437	AF119912
A_24_P849467	AK123296
A_32_P54475	AL540920
A_24_P178693	XR_018303
A_23_P403542	NM_020845
A_32_P319858	NM_198478
A_24_P82200	NM_170676
A_23_P33075	L08961
A_24_P25229	AK056283
A_23_P143720	NM_004810
A_23_P33072	NM_032272
A_23_P98571	NM_145017
A_24_P632835	A_24_P632835
A_24_P930482	A_24_P930482
A_32_P54442	NM_019015
A_23_P137391	NM_001428
A_24_P37887	NM_199243
A_32_P72968	BG989839
A_23_P420431	NM_175878
A_23_P92281	NM_014170
A_24_P170186	XR_019315
A_23_P8055	NM_007243
A_24_P180830	BC070091
A_24_P400729	NM_174907
A_23_P367043	BC028690
A_23_P143774	NM_018995
A_24_P76854	AJ296345
A_24_P541213	A_24_P541213
A_24_P25252	NM_015208
A_23_P420428	NM_053041
A_23_P26704	NM_024311
A_24_P937207	AY358239
A_32_P88605	A_32_P88605
A_23_P376870	NM_174891
A_32_P88603	ENST00000369453
A_24_P276102	NM_183404
A_32_P200537	THC2524570
A_23_P367071	BC040290
A_24_P276385	NM_205856
A_23_P105184	NM_139181
A_24_P354689	NM_004598
A_23_P26759	NM_138793
A_24_P25247	AK090761
A_24_P76809	BC035960
A_32_P72940	NM_007209
A_24_P384119	A_24_P384119
A_32_P8205	THC2665398
A_23_P83659	NM_003399
A_24_P464798	A_24_P464798
A_24_P857452	AK023038
A_24_P534243	A_24_P534243
A_24_P911191	THC2672076
A_23_P400580	AB040883
A_24_P4373	NM_153045
A_23_P76690	NM_006002
A_24_P15973	A_24_P15973
A_23_P26729	NM_004645
A_24_P257108	NM_133484
A_23_P76622	NM_001922
A_24_P14531	NM_014742
A_23_P83624	NM_021149
A_24_P477948	AA550817
A_24_P715518	AK023072
A_23_P210330	ENST00000238875
A_32_P88626	NM_023923
A_32_P175282	BF149382
A_23_P98786	NM_000260
A_23_P420442	NM_153618
A_24_P15965	NM_203282
A_32_P32043	AK096405
A_32_P139551	THC2717825
A_23_P162466	NM_004572
