Probe Set ID	UniGene ID
1416200_at	Mm.182359
1416201_at	Mm.280125
1416202_at	Mm.36241
1416203_at	Mm.18625
1416204_at	Mm.252391
1416205_at	Mm.290516
1416206_at	Mm.3072
1416207_at	Mm.268483
1416208_at	Mm.329277
1416209_at	Mm.10600
1416210_at	Mm.12864
1416211_a_at	Mm.279690
1416212_at	Mm.808
1416213_x_at	Mm.300594
1416214_at	Mm.1500
1416215_at	Mm.20931
1416216_at	Mm.4479
1416217_a_at	Mm.21529
1416218_x_at	Mm.21529
1416219_at	Mm.10247
1416220_at	Mm.28852
1416221_at	Mm.182434
1416222_at	Mm.38792
1416223_at	Mm.290534
1416224_at	Mm.389590
1416225_at	Mm.2409
1416226_at	Mm.30010
1416227_at	Mm.30010
1416228_at	Mm.7906
1416229_at	Mm.7013
1416230_at	Mm.7013
1416231_at	Mm.274894
1416232_at	Mm.37289
1416233_at	Mm.250874
1416234_at	Mm.172720
1416235_at	Mm.172720
1416236_a_at	Mm.33240
1416237_at	Mm.33240
1416238_at	Mm.4345
1416239_at	Mm.3217
1416240_at	Mm.389251
1416241_at	Mm.29296
1416242_at	Mm.224306
1416243_a_at	Mm.345333
1416244_a_at	Mm.290251
1416245_at	Mm.28999
1416246_a_at	Mm.290482
1416247_at	Mm.29025
1416248_at	Mm.28347
1416249_at	Mm.28347
1416250_at	Mm.392646
1416251_at	Mm.4933
1416252_at	Mm.439986
1416253_at	Mm.464272
1416254_a_at	Mm.276092
1416255_at	Mm.24615
1416256_a_at	Mm.472691
1416257_at	Mm.19306
1416258_at	Mm.2661
1416259_at	Mm.102205
1416260_a_at	Mm.271891
1416261_at	Mm.29647
1416262_at	Mm.29647
1416263_at	Mm.254839
1416264_at	Mm.254839
1416265_at	Mm.294315
1416266_at	Mm.6239
1416267_at	Mm.246911
1416268_at	Mm.290207
1416269_at	Mm.133551
1416270_at	Mm.22117
1416271_at	Mm.28209
1416272_at	Mm.331392
1416273_at	Mm.255332
1416274_at	Mm.259852
1416275_at	Mm.45201
1416276_a_at	Mm.66
1416277_a_at	Mm.3158
1416278_a_at	Mm.41
1416279_at	Mm.274816
1416280_at	Mm.27560
1416281_at	Mm.103986
1416282_at	Mm.289832
1416283_at	Mm.4505
1416284_at	Mm.273102
1416285_at	Mm.331007
1416286_at	Mm.41642
1416287_at	Mm.41642
1416288_at	Mm.27897
1416289_at	Mm.37371
1416290_a_at	Mm.29582
1416291_at	Mm.29582
1416292_at	Mm.29821
1416293_at	Mm.317947
1416294_at	Mm.257052
1416295_a_at	Mm.2923
1416296_at	Mm.2923
1416297_s_at	Mm.2553
1416298_at	Mm.4406
1416299_at	Mm.37801
1416300_a_at	Mm.298
1416301_a_at	Mm.439662
1416302_at	Mm.439662
1416303_at	Mm.294753
1416304_at	Mm.294753
1416305_at	Mm.170983
1416306_at	Mm.33483
1416307_at	Mm.290086
1416308_at	Mm.344831
1416309_at	Mm.290015
1416310_at	Mm.290015
1416311_s_at	Mm.270295
1416312_at	Mm.284906
1416313_at	Mm.473724
1416314_at	Mm.473724
1416315_at	Mm.28771
1416316_at	Mm.290044
1416317_a_at	Mm.32801
1416318_at	Mm.20144
1416319_at	Mm.188734
1416320_at	Mm.259164
1416321_s_at	Mm.214514
1416322_at	Mm.214514
1416323_at	Mm.435
1416324_s_at	Mm.435
1416325_at	Mm.16781
1416326_at	Mm.272368
1416327_at	Mm.2815
1416328_a_at	Mm.22602
1416329_at	Mm.37249
1416330_at	Mm.806
1416331_a_at	Mm.6743
1416332_at	Mm.17898
1416333_at	Mm.243323
1416334_at	Mm.440420
1416335_at	Mm.2326
1416336_s_at	Mm.603
1416337_at	Mm.379136
1416338_at	Mm.1773
1416339_a_at	Mm.214593
1416340_a_at	Mm.4219
1416341_at	Mm.292492
1416342_at	Mm.454219
1416343_a_at	Mm.486
1416344_at	Mm.486
1416345_at	Mm.391835
1416346_at	Mm.391835
1416347_at	Mm.12917
1416348_at	Mm.12917
1416349_at	Mm.29489
1416350_at	Mm.41513
1416351_at	Mm.248907
1416352_s_at	Mm.352239
1416353_at	Mm.968
1416354_at	Mm.28275
1416355_at	Mm.28275
1416356_at	Mm.390685
1416357_a_at	Mm.275003
1416358_at	Mm.34564
1416359_at	Mm.33721
1416360_at	Mm.33721
1416361_a_at	Mm.20893
1416362_a_at	Mm.12758
1416363_at	Mm.12758
1416364_at	Mm.2180
1416365_at	Mm.2180
1416366_at	Mm.334031
1416367_at	Mm.158971
1416368_at	Mm.2662
1416369_at	Mm.239196
1416370_at	Mm.2760
1416371_at	Mm.2082
1416372_at	Mm.281464
1416373_at	Mm.283604
1416374_at	Mm.386781
1416375_at	Mm.386781
1416376_at	Mm.29431
1416377_at	Mm.29193
1416378_at	Mm.238254
1416379_at	Mm.142253
1416380_at	Mm.1597
1416381_a_at	Mm.279782
1416382_at	Mm.322945
1416383_a_at	Mm.1845
1416384_a_at	Mm.28668
1416385_a_at	Mm.249225
1416386_a_at	Mm.249225
1416387_at	Mm.22682
1416388_at	Mm.22682
1416389_a_at	Mm.280068
1416390_at	Mm.280068
1416391_at	Mm.277413
1416392_a_at	Mm.320896
1416393_at	Mm.6390
1416394_at	Mm.688
1416395_at	Mm.3624
1416396_at	Mm.28196
1416397_at	Mm.272998
1416398_at	Mm.272998
1416399_a_at	Mm.272866
1416400_at	Mm.250599
1416401_at	Mm.4261
1416402_at	Mm.274243
1416403_at	Mm.274243
1416404_s_at	Mm.702
1416405_at	Mm.2608
1416406_at	Mm.544
1416407_at	Mm.544
1416408_at	Mm.356689
1416409_at	Mm.356689
1416410_at	Mm.597
1416411_at	Mm.440086
1416412_at	Mm.3059
1416413_at	Mm.31948
1416414_at	Mm.286375
1416415_a_at	Mm.117541
1416416_x_at	Mm.37199
1416417_a_at	Mm.29683
1416418_at	Mm.14638
1416419_s_at	Mm.14638
1416420_a_at	Mm.406256
1416421_a_at	Mm.10508
1416422_a_at	Mm.10508
1416423_x_at	Mm.10508
1416424_at	Mm.311696
1416425_at	Mm.247764
1416426_at	Mm.329123
1416427_at	Mm.250419
1416428_at	Mm.286598
1416429_a_at	Mm.4215
1416430_at	Mm.4215
1416431_at	Mm.181860
1416432_at	Mm.19669
1416433_at	Mm.2870
1416434_at	Mm.25988
1416435_at	Mm.3122
1416436_a_at	Mm.158827
1416437_a_at	Mm.43081
1416438_at	Mm.29965
1416439_at	Mm.29898
1416440_at	Mm.269815
1416441_at	Mm.158251
1416442_at	Mm.399
1416443_a_at	Mm.258530
1416444_at	Mm.2567
1416445_at	Mm.24641
1416446_at	Mm.355034
1416447_at	Mm.355034
1416448_at	Mm.21399
1416449_x_at	Mm.7247
1416450_at	Mm.275901
1416451_s_at	Mm.275901
1416452_at	Mm.13694
1416453_x_at	Mm.391302
1416454_s_at	Mm.213025
1416455_a_at	Mm.178
1416456_a_at	Mm.46418
1416457_at	Mm.1457
1416458_at	Mm.5061
1416459_at	Mm.5061
1416460_at	Mm.158200
1416461_at	Mm.427589
1416462_at	Mm.427589
1416463_at	Mm.427589
1416464_at	Mm.7248
1416465_a_at	Mm.391032
1416466_at	Mm.391032
1416467_at	Mm.289662
1416468_at	Mm.457973
1416469_at	Mm.92659
1416470_a_at	Mm.188544
1416471_at	Mm.14816
1416472_at	Mm.44207
1416473_a_at	Mm.209041
1416474_at	Mm.209041
1416475_at	Mm.180052
1416476_a_at	Mm.180052
1416477_at	Mm.180052
1416478_a_at	Mm.297096
1416479_a_at	Mm.30005
1416480_a_at	Mm.391698
1416481_s_at	Mm.347915
1416482_at	Mm.213408
1416483_at	Mm.213408
1416484_at	Mm.213408
1416485_at	Mm.463103
1416486_at	Mm.235137
1416487_a_at	Mm.221992
1416488_at	Mm.3527
1416489_at	Mm.248647
1416490_at	Mm.23032
1416491_at	Mm.458153
1416492_at	Mm.16110
1416493_at	Mm.7236
1416494_at	Mm.42805
1416495_s_at	Mm.42805
1416496_at	Mm.332336
1416497_at	Mm.2442
1416498_at	Mm.4587
1416499_a_at	Mm.150373
1416500_at	Mm.273671
1416501_at	Mm.10504
1416502_a_at	Mm.272414
1416503_at	Mm.2632
1416504_at	Mm.271898
1416505_at	Mm.119
1416506_at	Mm.30210
1416507_at	Mm.44220
1416508_at	Mm.283045
1416509_at	Mm.246440
1416510_at	Mm.427576
1416511_a_at	Mm.293378
1416512_at	Mm.36718
1416513_at	Mm.425599
1416514_a_at	Mm.289707
1416515_at	Mm.289707
1416516_at	Mm.289707
1416517_at	Mm.23085
1416518_at	Mm.21899
1416519_at	Mm.11376
1416520_x_at	Mm.11376
1416521_at	Mm.42829
1416522_a_at	Mm.439877
1416523_at	Mm.235538
1416524_at	Mm.285454
1416525_at	Mm.285454
1416526_a_at	Mm.277349
1416527_at	Mm.31486
1416528_at	Mm.22240
1416529_at	Mm.182785
1416530_a_at	Mm.17932
1416531_at	Mm.378931
1416532_at	Mm.273570
1416533_at	Mm.29978
1416534_at	Mm.2651
1416535_at	Mm.383472
1416536_at	Mm.273418
1416537_at	Mm.41593
1416538_at	Mm.196345
1416539_at	Mm.196345
1416540_at	Mm.7919
1416541_at	Mm.3990
