Probe Set ID	Representative Public ID
101162_at	X56182
101163_at	M64796
101164_at	U12763
101165_at	W91762
101166_at	X55126
101167_at	X12807
101168_at	Z31360
101169_at	X14770
101170_at	Z14224
101171_at	U41285
101172_at	U47104
101173_at	Z50024
101174_at	Z48238
101175_at	U43186
101176_at	D38581
101177_at	Z31663
101178_at	X85994
101179_at	D50494
101180_at	U43678
101181_at	U49391
101182_at	X95255
101183_at	D37793
101184_at	U66827
101185_at	X92498
101186_at	X65588
101187_at	U67878
101188_at	D45022
101189_at	D83698
101190_at	U52222
101191_at	D85037
101192_at	U61155
101193_at	U69133
101194_at	Z75287
101195_at	X65979
101196_at	D50060
101197_at	U46463
101198_at	D38614
101199_at	U79525
101200_at	D00659
101201_r_at	T25605
101202_at	T25607
101203_r_at	T25639
101204_at	T25645
101205_at	T25652
101206_at	T25656
101207_at	X52803
101208_at	M26687
101209_at	J05018
101210_at	R74626
101211_at	R74675
101212_at	AF043285
101213_at	X15267
101214_f_at	M32599
101215_at	M86567
101216_at	R75193
101217_at	D18865
101218_at	C76002
101219_at	C76428
101220_at	C76628
101221_at	C76746
101222_f_at	C76819
101223_r_at	C77112
101224_at	C77236
101225_at	C77257
101226_at	C77776
101227_at	C78037
101228_at	C78067
101229_at	C78228
101230_at	C78294
101231_at	C78334
101232_at	C78532
101233_at	C78616
101234_at	C78704
101235_f_at	C78782
101254_at	L32751
101255_at	X51703
101276_at	X55984
101277_at	AF109905
101278_at	AF109402
101279_f_at	AF093870
101280_at	AF106007
101281_at	AF102523
101282_at	AF054507
101286_at	M91243
101287_s_at	M24264
101288_at	M33884
101289_f_at	M17979
101290_at	M14872
101291_at	Z83956
101292_f_at	X79214
101293_at	Z84471
101294_g_at	Z84471
101295_s_at	U72059
101296_at	Y10972
101297_at	M23158
101298_g_at	M23158
101299_at	M20985
101300_at	M26156
101301_at	L31784
101302_at	M64226
101303_at	M84005
101305_at	M88299
101306_f_at	M17790
101307_at	Y10221
101308_at	M64228
101309_at	M91000
101310_at	M81077
101311_at	M31648
101312_at	D10651
101313_r_at	U95783
101314_at	D64112
101315_at	M19413
101316_at	M89801
101317_f_at	L38698
101318_at	M81831
101319_f_at	L28060
101320_f_at	L28059
101321_r_at	L28059
101324_r_at	L24160
101325_r_at	U20239
101326_at	U23025
101327_at	U82610
101328_at	U66873
101329_f_at	U55585
101330_f_at	U55617
101331_f_at	U55641
101332_at	AB001737
101333_at	U73819
101334_at	Y11117
101335_at	U90267
101336_at	AE000663
101337_at	AE000663
101338_f_at	AE000664
101339_at	AE000665
101340_at	AE000665
101341_at	AF016308
101342_at	D32210
101343_at	AF020263
101344_at	AF019371
101345_at	AF030001
101346_at	Z95476
101347_at	Z95478
101348_at	Z95479
101349_at	U73170
101350_g_at	U73170
101351_at	AF022251
101352_g_at	AF022251
101353_at	AF022252
101354_at	AF019045
101355_at	U77628
101356_at	AI843384
101357_at	X14971
101358_at	U43144
101359_at	U43541
101362_at	AB005664
101363_at	AI644801
101364_at	Y13344
101366_f_at	AA250299
101367_at	U60312
101368_at	M32484
101369_at	AI391071
101370_at	U20619
101371_at	AF033201
101372_at	AI852645
101374_at	D86420
101375_at	D86421
101376_at	D86419
101377_at	AI853175
101380_at	AW048282
101381_at	D86066
101382_at	AF020198
101383_at	AJ131711
101384_at	AI852933
101385_at	AW047312
101386_at	AA690372
101387_at	AI852646
101388_at	M17299
101389_at	AB008553
101390_at	AF027131
101392_at	AW122839
101393_at	AJ001633
101394_at	AB024922
101395_at	AW120626
101396_at	AB008174
101397_at	AA870756
101398_at	U19520
101399_at	M77174
101401_at	AF007552
101402_at	AI854510
101403_at	AJ249480
101404_at	AI853654
101405_at	M25773
101406_at	AF026072
101407_at	U95736
101408_at	AF010499
101409_at	AI429868
101410_at	AB000713
101412_at	U58887
101413_at	AI847142
101414_at	X54098
101415_i_at	L76155
101416_f_at	L76155
101417_at	AF020191
101419_at	M28730
101420_at	AJ001598
101421_at	AF030001
101422_at	AW121377
101423_at	AW125560
101424_at	AF019249
101425_at	U35456
101426_at	AW125333
101428_at	J04947
101429_at	X67083
101430_at	AW124153
101431_at	AF033195
101432_at	AI504100
101433_at	AF010452
101435_at	AF033275
101436_at	M34815
101437_at	AF039574
101439_at	AW122716
101440_at	AW047074
101441_i_at	AF031127
101442_f_at	AF031127
101443_at	AI846119
101444_at	U83176
101445_at	AF036008
101446_at	AF004428
101447_at	M88127
101448_at	D50050
101449_at	AW120841
101450_at	M21952
101451_at	AF038939
101453_at	X94322
101455_at	M29395
101456_at	AF060245
101457_at	L16956
101458_at	D30743
101459_at	L10410
101461_f_at	U06944
101462_r_at	U06944
101463_at	Z24722
101464_at	V00755
101465_at	U06924
101466_at	D50264
101467_at	L22144
101468_at	X12905
101469_at	AF009366
101470_at	AI851014
101471_at	D63764
101472_s_at	AI195164
101473_at	U86108
101474_at	U09010
101475_at	M64068
101476_at	U93050
101480_at	AB010031
101481_at	AI852555
101482_at	D85137
101483_at	AI850862
101484_at	U73039
101485_at	AW124859
101486_at	Y10875
101487_f_at	U47737
101488_r_at	U47737
101489_at	D12780
101490_at	AW122692
101492_at	AW047032
101493_at	M16395
101494_at	V00743
101495_at	X59047
101498_at	AF042730
101499_at	U94479
101500_at	AI834796
101501_r_at	D87973
101502_at	X89749
101503_at	X87817
101505_at	AW121234
101506_at	AW227345
101507_at	AI836274
101508_at	U17961
101509_at	U96760
101510_at	AB007136
101511_at	X90582
101513_at	AI840454
101514_at	AF041433
101515_at	AF006688
101516_at	U60473
101517_at	X81058
101518_at	U38981
101519_at	M29264
101520_at	AF032967
101521_at	AB013819
101522_at	L15429
101523_at	AW046194
101524_at	AI851595
101525_at	AI848871
101526_at	X14759
101527_at	M18209
101528_at	D00925
101529_g_at	D00925
101530_at	U97079
101531_at	AI527354
101532_g_at	AI527354
101534_at	M60254
101536_at	U35312
101537_at	AF034435
101538_i_at	AW226939
101539_f_at	AW226939
101540_at	AF069519
101541_at	AA824072
101542_f_at	L25126
101543_f_at	M13441
101546_at	AF109906
101548_at	AI846345
101550_at	X78990
101551_s_at	X78989
101552_at	L33878
101553_at	AI876446
101554_at	U57524
101555_at	X57277
101557_at	AF043070
101558_s_at	AB003304
101560_at	AW061330
101561_at	K02236
101562_at	U08215
101564_at	U21855
101565_f_at	M75720
101566_f_at	M17818
101567_at	AB018567
101568_at	AW227620
101569_at	AB033744
101570_at	X76066
101571_g_at	X76066
101572_f_at	M75721
101573_f_at	AB020237
101574_f_at	M75717
101575_i_at	M25529
101576_f_at	M25529
101577_at	Z54209
101578_f_at	M12481
101579_at	X78304
101580_at	AI851220
101581_at	U82122
101582_at	AI853259
101583_at	M64292
101584_at	X63039
101585_at	AF042491
101587_at	U89491
101588_at	AF058055
101589_at	X12944
101590_at	AI747194
101591_at	AI852589
101593_at	AI851454
101595_at	C78787
101596_at	C78859
101597_at	C78885
101598_at	C78889
101599_at	C78986
101600_at	C79015
101601_at	C79025
101602_at	C79108
101603_g_at	C79108
101604_at	C79296
101605_at	C79364
101606_at	C79749
101607_at	C80068
101608_at	C80360
101609_at	C80370
101610_at	C80494
101611_at	C80900
101612_at	C81600
101613_at	AA672647
101614_at	AA672648
101615_at	AA673515
101616_at	M19911
101617_s_at	U59758
101618_r_at	U59758
101619_at	D00460
101620_at	U91967
101621_at	AF008595
101622_at	AF001465
101623_at	AF019111
101624_at	AF008573
101625_at	AF008574
101626_at	AF013107
101627_at	U87868
101628_g_at	U87868
101629_s_at	D29743
101630_f_at	AF011412
101631_at	AF009414
101632_at	AF019046
101633_at	X16678
101634_at	M33212
101635_f_at	M16360
101636_at	M33975
101637_at	L38422
101638_s_at	D26137
101639_r_at	D26137
101640_f_at	M15593
101641_at	M86751
101642_at	J02644
101643_at	D45207
101644_f_at	AF011418
101645_f_at	AF011421
101646_at	AF030178
101647_at	U26589
101648_at	X86368
101649_at	AF048695
101650_at	D86917
101651_at	AF068615
101652_i_at	X52914
101653_f_at	X52914
101654_at	X80328
101655_at	U46187
101656_f_at	U60442
101657_at	U39545
101658_f_at	D90146
101659_at	M75886
101660_at	AA415486
101661_r_at	AA420337
101662_at	AA536986
101663_s_at	C76227
101664_at	Z83368
101665_at	C85959
101666_at	D10584
101667_at	AA571393
101668_at	AA589418
101669_at	AA589492
101670_at	AA589511
101671_at	AA591039
101672_at	AA675032
101673_r_at	AA675035
101674_at	AA690149
101675_at	AI447407
101676_at	U13705
101677_at	AI450336
101678_r_at	AI451701
101679_at	AI462500
101680_at	X05021
101681_f_at	U21906
101682_f_at	M16358
101683_at	AF089818
101684_r_at	X67863
101685_f_at	AI463421
101686_at	D18410
101687_r_at	C79518
101688_at	C77672
101689_at	AA416453
101690_r_at	AI662095
101691_s_at	C77405
101692_r_at	C77405
101693_f_at	C80919
101694_f_at	W91649
101695_at	AI747163
101696_r_at	AI837271
101697_f_at	AI844607
101698_f_at	AI852429
101699_at	X12808
101700_at	X12806
101701_at	X95600
101702_at	AJ011381
101703_at	V00716
101704_at	AJ242626
101705_at	X12809
101706_at	AJ238239
101707_at	X99273
101708_at	X97650
101709_at	AB015140
101710_at	AB022913
101711_at	AJ010015
101712_at	AJ009823
101713_at	AB022345
101714_at	AB025410
101715_at	AF017259
101716_at	AF017260
101717_at	U26176
101718_f_at	U19315
101719_at	L12687
101720_f_at	U30629
101723_r_at	U06146
101724_at	AB009967
101725_at	AF029790
101726_at	AB010281
101727_at	AF030896
101728_at	S46665
101729_at	AF016190
101730_at	D82029
101731_at	M12374
101732_at	M12039
101733_at	U28405
101734_at	D13266
101735_f_at	U22519
101736_at	U40189
101737_at	U12932
101738_at	U25145
101739_at	Z50147
101740_at	AF031431
101741_at	AB003305
101742_at	AF053986
101743_f_at	X94420
101744_i_at	X94422
101745_f_at	X94422
101746_i_at	X94419
101747_f_at	X94419
101748_at	U47281
101749_at	L43567
101751_f_at	L43568
101752_f_at	Z22111
101753_s_at	X51547
101754_f_at	AJ005565
101755_f_at	AJ005568
101756_f_at	AJ005569
101757_at	AF015881
101758_at	AF045801
101759_at	D00851
101760_at	AF064792
101761_f_at	AJ005561
101762_at	Y09227
101763_at	AF065145
101764_at	X94908
101765_at	X63240
101768_at	AF014374
101769_at	AB008178
101770_i_at	AB008180
101771_r_at	AB008180
101772_r_at	AB008182
101773_r_at	AB008183
101774_at	Z35167
101775_at	AF078166
101776_at	AF059175
101777_at	AF059177
101778_at	X61675
101779_at	X67274
101780_at	X66285
101781_f_at	V00754
101782_at	X16495
101783_i_at	X16496
101784_f_at	X16496
101786_at	U03723
101787_f_at	X16672
101788_f_at	X01974
101789_i_at	X01973
101790_f_at	X01973
101791_f_at	X01971
101792_at	V00789
101793_at	X70980
101794_f_at	U12562
101795_f_at	U12566
101796_at	AB011255
101797_at	AJ011787
101798_at	AF078112
101799_at	AF078112
101800_at	AF071180
101801_at	AF071181
101802_at	AF071182
101803_at	AJ010792
101804_at	AF032715
101805_f_at	U89411
101806_at	AF042783
101807_at	AJ005528
101808_at	AJ005531
101809_at	AF095155
101810_at	AF095642
101811_at	AF071223
101814_at	AF100906
101815_at	AF101440
101816_at	AF063937
101820_at	X70920
101821_at	X63473
101822_at	X74983
101823_at	X72904
101824_at	X03669
101825_at	X72959
101826_at	X58216
101827_at	X52164
101828_at	X67812
101829_at	J04192
101830_at	X83934
101831_at	X76290
101834_at	Z14249
101835_at	U10484
101836_at	D45859
101837_g_at	D45859
101838_r_at	AB007798
101839_at	AE000663
101840_at	L06864
101841_at	AW049716
101842_g_at	AW049716
101843_at	AF020526
101844_at	U94700
101845_s_at	M55219
